Astellas Pharma uS, Inc.	nan	Deerfield, IL	l	nan	l	w	nan	l	w	w	nan	55	nan	nan
AstraZeneca PLC	nan	Wilmington, DE	l	nan	l	w	nan	nan	l	l	nan	60	nan	nan
AT&T Inc.	nan	Dallas, TX	l	l	l	l	l	l	l	l	nan	100	7.0	nan
Atmos Energy Corp.	nan	Dallas, TX	l	l	nan	nan	nan	nan	nan	nan	nan	30	424.0	nan
Austin Radiological Assn.	nan	Austin, TX	l	nan	l	w	nan	nan	w	nan	nan	40	nan	nan
Autoliv Inc.	nan	Auburn Hills, MI	l	l	nan	nan	nan	nan	nan	nan	nan	30	410.0	nan
Automatic Data Processing Inc.	nan	Roseland, NJ	l	l	l	l	l	l	l	l	nan	100	265.0	nan
AutoNation Inc.	nan	Fort Lauderdale, FL	l	nan	nan	nan	nan	nan	nan	nan	nan	15	212.0	nan
Auto-Owners Insurance Group	nan	Lansing, MI	nan	nan	nan	nan	nan	nan	nan	nan	nan	0	418.0	nan
AutoZone Inc.	nan	Memphis, TN	l	nan	nan	nan	nan	nan	nan	nan	nan	15	329.0	nan
